horodatage,est_weekend,est_ferie,id_train,passagers_train,condition_meteo,demande_taxi,demande_bus,temps_attente_moyen,niveau_congestion,flux_direction,code_flux_direction,code_meteo
2024-01-01 00:00:00,0,1,,0,Pluvieux,8.4,2.1,2.1,0.2,neutre,1,2
2024-01-01 00:15:00,0,1,,0,Pluvieux,7.2,1.8,2.1,0.2,neutre,1,2
2024-01-01 00:30:00,0,1,,0,Pluvieux,8.1,2.0,2.1,0.2,neutre,1,2
2024-01-01 00:45:00,0,1,,0,Pluvieux,7.6,1.9,2.1,0.2,neutre,1,2
2024-01-01 01:00:00,0,1,,0,Pluvieux,8.1,2.0,2.1,0.2,neutre,1,2
2024-01-01 01:15:00,0,1,,0,Pluvieux,7.1,1.8,2.1,0.2,neutre,1,2
2024-01-01 01:30:00,0,1,,0,Pluvieux,7.3,1.8,2.1,0.2,neutre,1,2
2024-01-01 01:45:00,0,1,,0,Pluvieux,9.7,2.4,2.1,0.2,neutre,1,2
2024-01-01 02:00:00,0,1,,0,Pluvieux,7.3,1.8,2.1,0.2,neutre,1,2
2024-01-01 02:15:00,0,1,,0,Pluvieux,8.4,2.1,2.1,0.2,neutre,1,2
2024-01-01 02:30:00,0,1,,0,Pluvieux,7.6,1.9,2.1,0.2,neutre,1,2
2024-01-01 02:45:00,0,1,,0,Pluvieux,7.2,1.8,2.1,0.2,neutre,1,2
2024-01-01 03:00:00,0,1,,0,Pluvieux,8.1,2.0,2.1,0.2,neutre,1,2
2024-01-01 03:15:00,0,1,,0,Pluvieux,7.3,1.8,2.1,0.2,neutre,1,2
2024-01-01 03:30:00,0,1,,0,Pluvieux,8.4,2.1,2.1,0.2,neutre,1,2
2024-01-01 03:45:00,0,1,,0,Pluvieux,7.9,2.0,2.1,0.2,neutre,1,2
2024-01-01 04:00:00,0,1,,0,Pluvieux,9.1,2.3,2.1,0.2,neutre,1,2
2024-01-01 04:15:00,0,1,,0,Pluvieux,7.0,1.7,2.1,0.2,neutre,1,2
2024-01-01 04:30:00,0,1,,0,Pluvieux,8.2,2.1,2.1,0.2,neutre,1,2
2024-01-01 04:45:00,0,1,,0,Pluvieux,8.3,2.1,2.1,0.2,neutre,1,2
2024-01-01 05:00:00,0,1,,0,Pluvieux,7.2,1.8,2.1,0.2,sortant,0,2
2024-01-01 05:15:00,0,1,,0,Pluvieux,7.5,1.9,2.1,0.2,sortant,0,2
2024-01-01 05:30:00,0,1,,0,Pluvieux,6.9,1.7,2.1,0.2,sortant,0,2
2024-01-01 05:45:00,0,1,,0,Pluvieux,6.8,1.7,2.1,0.2,sortant,0,2
2024-01-01 06:00:00,0,1,TR1000,685,Pluvieux,259.4,418.6,40.3,10.0,sortant,0,2
2024-01-01 06:15:00,0,1,,0,Pluvieux,191.4,358.4,40.3,10.0,neutre,1,2
2024-01-01 06:30:00,0,1,,0,Pluvieux,133.8,223.1,32.5,8.6,neutre,1,2
2024-01-01 06:45:00,0,1,,0,Pluvieux,67.1,118.7,13.7,4.5,neutre,1,2
2024-01-01 07:00:00,0,1,,0,Pluvieux,14.8,34.6,3.0,1.0,sortant,0,2
2024-01-01 07:15:00,0,1,,0,Pluvieux,16.2,37.8,3.1,1.1,sortant,0,2
2024-01-01 07:30:00,0,1,,0,Pluvieux,14.8,34.5,3.0,1.0,sortant,0,2
2024-01-01 07:45:00,0,1,,0,Pluvieux,14.9,34.7,3.0,1.0,sortant,0,2
2024-01-01 08:00:00,0,1,TR1001,832,Pluvieux,307.5,528.5,40.3,10.0,sortant,0,2
2024-01-01 08:15:00,0,1,,0,Pluvieux,241.3,369.6,40.3,10.0,neutre,1,2
2024-01-01 08:30:00,0,1,TR1002,979,Pluvieux,525.4,903.3,40.3,10.0,sortant,0,2
